Dataset,Setting,Model,True,Predicted,Count,Share_of_errors,N_errors,N
emo,few_shot,qwen-72B,fear,anger,6,0.028037383177570093,214,625
emo,few_shot,qwen-72B,fear,disgust,4,0.018691588785046728,214,625
emo,few_shot,qwen-72B,fear,sadness,7,0.03271028037383177,214,625
emo,few_shot,qwen-72B,fear,surprise,1,0.004672897196261682,214,625
emo,few_shot,qwen-72B,joy,anger,2,0.009345794392523364,214,625
emo,few_shot,qwen-72B,joy,sadness,5,0.02336448598130841,214,625
emo,few_shot,qwen-72B,joy,surprise,1,0.004672897196261682,214,625
emo,few_shot,qwen-72B,sadness,anger,15,0.07009345794392523,214,625
emo,few_shot,qwen-72B,sadness,disgust,7,0.03271028037383177,214,625
emo,few_shot,qwen-72B,sadness,fear,5,0.02336448598130841,214,625
emo,few_shot,qwen-72B,sadness,joy,5,0.02336448598130841,214,625
emo,few_shot,qwen-72B,sadness,surprise,1,0.004672897196261682,214,625
emo,few_shot,qwen-72B,surprise,anger,8,0.037383177570093455,214,625
emo,few_shot,qwen-72B,surprise,disgust,1,0.004672897196261682,214,625
emo,few_shot,qwen-72B,surprise,fear,5,0.02336448598130841,214,625
emo,few_shot,qwen-72B,surprise,joy,9,0.04205607476635514,214,625
emo,few_shot,qwen-72B,surprise,sadness,7,0.03271028037383177,214,625
hate,zero_shot,llama32-3B,hate,not-hate,340,0.7925407925407926,429,1000
hate,zero_shot,llama32-3B,not-hate,hate,89,0.20745920745920746,429,1000
hate,zero_shot,mistral-7B,hate,not-hate,236,0.6685552407932012,353,1000
hate,zero_shot,mistral-7B,not-hate,hate,117,0.3314447592067989,353,1000
hate,zero_shot,deepseek-8B,hate,not-hate,339,0.8411910669975186,403,1000
hate,zero_shot,deepseek-8B,not-hate,hate,64,0.1588089330024814,403,1000
hate,zero_shot,phi4-14B,hate,not-hate,192,0.6981818181818182,275,1000
hate,zero_shot,phi4-14B,not-hate,hate,83,0.3018181818181818,275,1000
hate,zero_shot,gemma2-27B,hate,not-hate,54,0.2297872340425532,235,1000
hate,zero_shot,gemma2-27B,not-hate,hate,181,0.7702127659574468,235,1000
hate,zero_shot,qwen-72B,hate,not-hate,83,0.4129353233830846,201,1000
hate,zero_shot,qwen-72B,not-hate,hate,118,0.5870646766169154,201,1000
hate,few_shot,llama32-3B,hate,not-hate,76,0.21348314606741572,356,1000
hate,few_shot,llama32-3B,not-hate,hate,280,0.7865168539325843,356,1000
hate,few_shot,mistral-7B,hate,not-hate,199,0.5392953929539296,369,1000
hate,few_shot,mistral-7B,not-hate,hate,170,0.46070460704607047,369,1000
hate,few_shot,deepseek-8B,hate,not-hate,262,0.6949602122015915,377,1000
hate,few_shot,deepseek-8B,not-hate,hate,115,0.3050397877984085,377,1000
hate,few_shot,phi4-14B,hate,not-hate,84,0.2896551724137931,290,1000
hate,few_shot,phi4-14B,not-hate,hate,206,0.7103448275862069,290,1000
hate,few_shot,gemma2-27B,hate,not-hate,36,0.14007782101167315,257,1000
hate,few_shot,gemma2-27B,not-hate,hate,221,0.8599221789883269,257,1000
hate,few_shot,qwen-72B,hate,not-hate,67,0.3101851851851852,216,1000
hate,few_shot,qwen-72B,not-hate,hate,149,0.6898148148148148,216,1000
fake,zero_shot,llama32-3B,fake,real,67,0.5929203539823009,113,508
fake,zero_shot,llama32-3B,real,fake,46,0.40707964601769914,113,508
fake,zero_shot,mistral-7B,fake,real,192,0.9846153846153847,195,508
fake,zero_shot,mistral-7B,real,fake,3,0.015384615384615385,195,508
fake,zero_shot,deepseek-8B,fake,real,81,0.5785714285714286,140,508
fake,zero_shot,deepseek-8B,real,fake,59,0.42142857142857143,140,508
fake,zero_shot,phi4-14B,fake,real,93,0.808695652173913,115,508
fake,zero_shot,phi4-14B,real,fake,22,0.19130434782608696,115,508
fake,zero_shot,gemma2-27B,fake,real,62,0.7848101265822784,79,508
fake,zero_shot,gemma2-27B,real,fake,17,0.21518987341772153,79,508
fake,zero_shot,qwen-72B,fake,real,79,0.9294117647058824,85,508
fake,zero_shot,qwen-72B,real,fake,6,0.07058823529411765,85,508
fake,few_shot,llama32-3B,fake,real,154,0.9871794871794872,156,508
fake,few_shot,llama32-3B,real,fake,2,0.01282051282051282,156,508
fake,few_shot,mistral-7B,fake,real,178,0.9621621621621622,185,508
fake,few_shot,mistral-7B,real,fake,7,0.03783783783783784,185,508
fake,few_shot,deepseek-8B,fake,real,140,0.8433734939759037,166,508
fake,few_shot,deepseek-8B,real,fake,26,0.1566265060240964,166,508
fake,few_shot,phi4-14B,fake,real,74,0.7956989247311828,93,508
fake,few_shot,phi4-14B,real,fake,19,0.20430107526881722,93,508
fake,few_shot,gemma2-27B,fake,real,73,0.9240506329113924,79,508
fake,few_shot,gemma2-27B,real,fake,6,0.0759493670886076,79,508
fake,few_shot,qwen-72B,fake,real,79,0.9753086419753086,81,508
fake,few_shot,qwen-72B,real,fake,2,0.024691358024691357,81,508
